account_id,account_name,plan_tier,lifecycle_stage,recommended_owner,recommended_action,priority_score,arr,revenue_at_risk,effort_hours,reason
ACC024,Account 024,Enterprise,Onboarding,Customer Ops,Accelerate onboarding milestone review,73.5,890000,503000,40,Onboarding account with 56.5 retention risk and 78.5 metric confidence
ACC046,Account 046,Enterprise,Onboarding,Customer Ops,Accelerate onboarding milestone review,71.7,443000,237000,8,Onboarding account with 53.6 retention risk and 71.2 metric confidence
ACC048,Account 048,Scale,Onboarding,Customer Ops,Accelerate onboarding milestone review,68.3,340000,192000,27,Onboarding account with 56.6 retention risk and 68.9 metric confidence
ACC018,Account 018,Enterprise,Expansion,Sales Ops,Package expansion signal for Sales Ops,65.2,517000,272000,37,Expansion account with 52.7 retention risk and 97.1 metric confidence
ACC021,Account 021,Enterprise,Renewal,RevOps,Validate renewal risk bridge with Finance,65.0,734000,269000,38,Renewal account with 36.7 retention risk and 72.7 metric confidence
ACC025,Account 025,Scale,Expansion,Sales Ops,Package expansion signal for Sales Ops,63.4,415000,200000,19,Expansion account with 48.3 retention risk and 92.6 metric confidence
ACC001,Account 001,Scale,Onboarding,Customer Ops,Accelerate onboarding milestone review,62.0,294000,184000,25,Onboarding account with 62.7 retention risk and 80.1 metric confidence
ACC008,Account 008,Enterprise,Adoption,Customer Success,Improve adoption playbook coverage,61.1,545000,130000,8,Adoption account with 23.8 retention risk and 75.1 metric confidence
ACC038,Account 038,Scale,Renewal,RevOps,Validate renewal risk bridge with Finance,58.2,415000,176000,40,Renewal account with 42.5 retention risk and 96.1 metric confidence
ACC043,Account 043,Scale,Onboarding,Customer Ops,Accelerate onboarding milestone review,58.2,392000,163000,32,Onboarding account with 41.5 retention risk and 85.8 metric confidence
ACC036,Account 036,Scale,Renewal,RevOps,Validate renewal risk bridge with Finance,58.1,389000,198000,38,Renewal account with 50.9 retention risk and 94.4 metric confidence
ACC014,Account 014,Growth,Onboarding,Customer Ops,Accelerate onboarding milestone review,56.2,58000,50000,12,Onboarding account with 86.0 retention risk and 80.0 metric confidence
ACC037,Account 037,Scale,Adoption,Customer Success,Improve adoption playbook coverage,54.3,394000,173000,36,Adoption account with 43.9 retention risk and 78.4 metric confidence
ACC033,Account 033,Scale,Adoption,Customer Success,Improve adoption playbook coverage,50.3,305000,130000,39,Adoption account with 42.6 retention risk and 74.3 metric confidence
ACC039,Account 039,Scale,Adoption,Customer Success,Improve adoption playbook coverage,50.1,191000,122000,28,Adoption account with 63.8 retention risk and 76.2 metric confidence
ACC019,Account 019,Growth,Renewal,RevOps,Validate renewal risk bridge with Finance,49.4,128000,100000,38,Renewal account with 78.4 retention risk and 73.8 metric confidence
ACC009,Account 009,Growth,Renewal,RevOps,Validate renewal risk bridge with Finance,49.3,116000,65000,12,Renewal account with 56.2 retention risk and 75.7 metric confidence
ACC029,Account 029,Scale,Onboarding,Customer Ops,Accelerate onboarding milestone review,48.9,170000,90000,13,Onboarding account with 52.8 retention risk and 76.5 metric confidence
ACC047,Account 047,Scale,Adoption,Customer Success,Improve adoption playbook coverage,47.2,213000,114000,30,Adoption account with 53.5 retention risk and 67.0 metric confidence
ACC042,Account 042,Growth,Onboarding,Customer Ops,Accelerate onboarding milestone review,47.0,99000,54000,28,Onboarding account with 54.9 retention risk and 64.0 metric confidence
ACC006,Account 006,Growth,Adoption,Customer Success,Improve adoption playbook coverage,46.9,139000,93000,38,Adoption account with 66.7 retention risk and 67.3 metric confidence
ACC022,Account 022,Growth,Onboarding,Customer Ops,Accelerate onboarding milestone review,43.0,140000,72000,41,Onboarding account with 51.7 retention risk and 76.7 metric confidence
ACC016,Account 016,Starter,Adoption,Customer Success,Improve adoption playbook coverage,42.0,46000,29000,19,Adoption account with 62.9 retention risk and 86.8 metric confidence
ACC015,Account 015,Growth,Adoption,Customer Success,Improve adoption playbook coverage,41.4,119000,61000,9,Adoption account with 51.5 retention risk and 77.2 metric confidence
ACC005,Account 005,Growth,Expansion,Sales Ops,Package expansion signal for Sales Ops,39.7,76000,48000,7,Expansion account with 63.5 retention risk and 87.1 metric confidence
